C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,4034920,2545217
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,4034928,2545224
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,4034995,2545519
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,4035227,2545709
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,4036003,2545919
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,4036515,2546004
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,7753515,3411839
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,7753519,3411841
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,7753553,3412050
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,7753739,3412157
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,7754307,3412263
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,7754700,3412298
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,2330276,862760
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,2330281,862764
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,2330311,862962
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,2330456,863031
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,2330996,863113
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,2331298,863144
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,7046852,3098317
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,7046857,3098320
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,7046883,3098525
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,7047022,3098612
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,7047573,3098702
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,7047883,3098730
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,8310639,3697701
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,8310639,3697706
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,8310703,3697937
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,8310886,3698025
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,8311662,3698160
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,8312090,3698205
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,2332530,1232958
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,2332533,1232970
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,2332613,1233500
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,2332918,1233733
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,2333870,1233942
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,2334411,1234008
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,14213987,14703553
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,14213989,14703604
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,14214123,14704866
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,14214517,14705281
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,14215639,14705513
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,14216322,14705618
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,2909,0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,2909,0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,2909,0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,2909,0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,2909,0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,2909,0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,1,1177
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,1,1177
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,1,1177
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,1,1177
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,1,1177
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,1,1177
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,3116969,6604671
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,3116970,6604683
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,3116998,6604889
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,3117116,6605200
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,3117522,6605444
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,3117864,6605559
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,118363000,1453519
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,118363007,1453529
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,118363062,1454268
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,118363251,1454800
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,118363913,1455281
A007,R079,01-06-01,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,118364481,1455517
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,4119449,1771407
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,4119452,1771410
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,4119500,1771495
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,4119728,1771576
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,4120369,1771647
A007,R079,01-06-02,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,4120880,1771672
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,6236650,2413443
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,6236653,2413444
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,6236737,2413524
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,6237073,2413680
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,6237897,2413812
A007,R079,01-06-03,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,6238461,2413867
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,2346994,938810
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,2347102,938826
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,2347202,938979
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,2347623,939590
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,2348362,939930
A010,R080,00-00-00,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,2349647,940287
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,13716539,5052974
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,13716578,5052986
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,13716632,5053086
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,13716936,5053481
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,13717436,5053681
A010,R080,00-00-01,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,13718379,5053920
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,9978164,3842148
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,9978194,3842153
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,9978234,3842226
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,9978420,3842483
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,9978750,3842606
A010,R080,00-00-02,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,9979479,3842769
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,2597237,1288012
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,2597265,1288013
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,2597292,1288108
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,2597439,1288381
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,2597736,1288501
A010,R080,00-00-03,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,2598292,1288659
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,3247159,1689610
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,3247192,1689616
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,3247212,1689722
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,3247382,1690076
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,16:00:00,REGULAR,3247751,1690229
A010,R080,00-00-04,57 ST-7 AV,NQRW,BMT,04/28/2017,20:00:00,REGULAR,3248485,1690378
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,00:00:00,REGULAR,398359,216893
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,04:00:00,REGULAR,398410,216895
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,08:00:00,REGULAR,398464,217021
A010,R080,00-00-05,57 ST-7 AV,NQRW,BMT,04/28/2017,12:00:00,REGULAR,398758,217321
