START STATION,START LONGITUDE,START LATITUDE,END STATION,END LONGITUDE,END LATITUDE
BROOKL,40.63284240700742,-73.94754120734406,SPRING,40.72230099999366,-73.99714100006673
BROADW,40.725296998738045,-73.99620399876055,ST LAW,40.8315090005233,-73.86761799923673
BRIGHT,40.577710196642435,-73.96135378598797,STEINW,40.75698735912575,-73.9205264716827
BRIARW,40.70916181536946,-73.82069263637443,STERLI,40.6627729934283,-73.95072891124937
BOWLIN,40.70491399928076,-74.01400799803432,SUTPHI,40.70541799906764,-73.81083299897232
BOWERY,40.720246883147254,-73.99380690654237,TIMES ,40.75528999995681,-73.98749500051885
BOROUG,40.693218999611084,-73.98999799960687,UNION ,40.73476331217923,-73.99066976901818
BLEECK,40.72591466682659,-73.99465900006331,VAN SI,40.67270999906104,-73.8903580002471
BEVERL,40.64512351894373,-73.94884798381702,VERNON,40.74262599969749,-73.95358099875249
BERGEN,40.68611054725977,-73.99075649573565,WALL S,40.706820999753376,-74.00909999844257
BEDFOR,40.87324399861646,-73.88713799889574,WESTCH,40.839892001013915,-73.84295199925012
BEACH ,40.59092700078133,-73.7969239998421,WHITLO,40.82652500055904,-73.8862829985325
BAY RI,40.61662166725951,-74.03087600085765,WILSON,40.68886654246024,-73.90395860491864
ATLANT,40.67534466640805,-73.9030969995401,WOODHA,40.73309737380972,-73.86943208612348
ASTORI,40.775035666523664,-73.9120340001031,WOODLA,40.886037000253324,-73.87875099990931
AQUEDU,40.668234001699815,-73.83405799948723,WORLD ,40.71256392680817,-74.00974461517701
