A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,6021891,3803735
A030,R083,01-00-01,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,5923027,2178077
A030,R083,01-00-02,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,4393510,2087575
A030,R083,01-03-00,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,5393773,2673826
A030,R083,01-03-01,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,8360375,2574870
A030,R083,01-03-02,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,8527849,2548970
A030,R083,01-06-00,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,7198760,3923479
A030,R083,01-06-01,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,84944585,678265
A031,R083,00-00-00,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,5542495,2761294
A031,R083,00-00-01,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,3307726,1107745
A031,R083,00-00-02,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,5540594,2996908
A031,R083,00-03-00,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,2361660,4094016
A031,R083,00-03-01,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,3414117,3805952
A031,R083,00-03-02,23 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,2942077,3342447
A038,R085,00-00-00,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,2739789,2190278
A038,R085,00-00-01,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,3643702,919334
A038,R085,00-00-02,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,12032504,1386354
A038,R085,00-00-03,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,3053392,615581
A038,R085,00-00-04,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,4730324,2910861
A038,R085,00-06-00,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,105950097,521495
A039,R085,01-00-00,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,952496,4522485
A039,R085,01-00-01,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,1625132,2618860
A039,R085,01-00-02,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,2086246,1433489
A039,R085,01-03-00,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,2620317,5659777
A039,R085,01-03-01,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,2165793,11835732
A039,R085,01-06-00,8 ST-NYU,NRW,BMT,04/28/2017,00:00:00,REGULAR,67687474,17107511
A041,R086,00-00-00,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,10430244,3866804
A041,R086,00-00-01,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,12146814,3300042
A041,R086,00-00-02,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,12239249,3287669
A041,R086,00-00-03,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,11545372,4866713
A041,R086,00-00-04,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,7626234,4056402
A042,R086,01-00-00,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,953754,6522739
A042,R086,01-00-01,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,1469242,4326397
A042,R086,01-00-02,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,1185450,1494051
A042,R086,01-00-03,PRINCE ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,4211319,5433021
